Population,Health,Internet,BirthRate,LifeExp
0.324,15.76,96.5,13.4,83.1
17.035,10.9,54,22.7,70.5
2.074,14.48,5,27.5,49.3
30.243,9.68,38.2,22.5,68.2
30.376,14.75,39.2,19.7,74.8
33.417,5.99,9.2,31.1,69.5
6.08,20.89,15.5,22.7,74.8
14.539,12.57,15.4,42.8,58.1
1.704,7.79,3.1,37.5,54.3
19.981,12.17,49.8,8.8,74.5
316.129,20.71,84.2,12.5,78.8
6.092,11.41,1.7,36.6,45.6
0.423,13.29,68.9,9.5,80.7
0.543,13.64,93.8,11.3,81.8
0.104,17.7,27.8,23.5,69
53.157,14.02,48.9,20.9,56.7
3.864,12.79,42.9,19.4,77.6
74.933,10.74,46.3,16.8,75.2
173.615,17.97,38,41.2,52.5
9.894,10.23,72.6,9.2,75.3
2.897,9.85,60.1,12.9,77.5
0.418,7.42,64.5,15.5,78.6
10.457,12.9,62.1,7.9,80.4
0.735,7.55,6.5,35.2,60.9
182.143,4.73,10.9,25.2,66.6
94.101,16.43,1.9,33,63.6
0.332,11.9,31.7,23.4,73.9
9.6,14.98,94.8,11.8,81.7
7.265,11.67,53.1,9.2,74.5
2.021,8.75,15,23.6,47.4
11.028,11.66,59.9,8.5,80.6
9.466,13.45,54.2,12.5,72.5
64.107,16.18,89.8,12.2,81
10.887,13.33,43.8,19.8,73.6
67.011,17.01,28.9,10.2,74.4
4.256,12.67,66.7,9.4,77.1
48.321,16.05,51.7,18.8,74
0.19,17,15.3,26.2,73.3
11.266,13.4,25.7,9.5,79.2
0.8,13.87,33,20.3,66.2
20.316,8.51,2.6,36.6,50.8
16.935,13.52,4.4,40.9,56.3
29.717,5.88,67,17.7,75
23.129,17.75,83,13.2,82.2
249.866,6.63,15.8,18.8,70.8
44.354,5.85,39,34.9,61.7
4.598,14.07,78.2,15,81
0.106,9.56,35,19.3,72.7
50.22,11.5,84.8,8.6,81.5
