                                            List of databases
           Name           |     Owner     | Encoding |   Collate   |    Ctype    |   Access privileges   
--------------------------+---------------+----------+-------------+-------------+-----------------------
 8                        | kkaur22       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Company                  | aschof20      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Prac1_Jpeisle2           | jpeisle2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Prac1_Library_Jpeisle2   | jpeisle2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Quiz_Jpeisle2            | jpeisle2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 abuyagaw_prac_01         | abuyagaw      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 achakma2_p1              | achakma2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahishahar_books          | ashahar       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahishahar_l4             | ashahar       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahishahar_tut1           | ashahar       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ahprac_01                | ahewitt8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alee44_db1               | alee44        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alee_prac01_LD           | alee44        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 alee_prac_01             | alee44        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 amrit_01                 | amritve       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 aschof20                 | aschof20      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 aschof20_prac_01         | aschof20      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 asingh46_prac_01         | asingh46      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 astory3_prac_01          | astory3       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bdavey2_prac_01          | bdavey2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 blynch8_prac_01          | blynch8       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 boi_01                   | bwatso25      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 brobin27_COSC210_books   | brobin27      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 brobin27_COSC210_prac_03 | brobin27      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 brobin27_prac_01         | brobin27      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bwatso25                 | bwatso25      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cdavids9_prac01          | cdavids9      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cdavids9_prac01_library  | cdavids9      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cosc210prac_01           | abuyagaw      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cthompse_prac-01         | cthompse      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 db_prac01                | nhall30       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dcabang                  | dcabang       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dcabang1_prac_01         | dcabang       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dcabang_prac_01          | dcabang       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dconquit                 | dconquit      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dconquit_a1_test         | dconquit      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dconquit_prac01_library  | dconquit      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dconquit_prac_01         | dconquit      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dconquit_testtest        | dconquit      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dhowart3_prac_01         | dhowart3      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dhowarth_prac_01         | dhowart3      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dianaprac_01             | dcabang       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dmenheni                 | dmenheni      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
