                                                 List of databases
                Name                 |     Owner     | Encoding |   Collate   |    Ctype    |   Access privileges   
-------------------------------------+---------------+----------+-------------+-------------+-----------------------
 ../2/Prac1_2.sql                    | mhay23        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 8                                   | kkaur22       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 A2                                  | elamptey      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 A3_test_khutch23                    | khutch23      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Assign1_lg2                         | lgreig2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Assignment2                         | kkc           | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 BFomiattiTAss1                      | bfomiatt      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 COMPANY                             | thaviv        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 COSC210BlakeAss2                    | bfomiatt      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Company                             | aschof20      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Electronics_manufacturer            | ylee48        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 L4Andrew                            | alovitt       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 L4_mmikhai3                         | mmikhai3      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Lecture14                           | esadgro2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 MovieDirectTest                     | mmarti51_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 MovieRUS                            | mmarti51_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 MovieTest                           | mmarti51      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 P1_example                          | ravinde       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 PA1                                 | elamptey      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 PRACTICAL2                          | kkc           | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Prac01_lg2                          | lgreig2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Prac1_Jpeisle2                      | jpeisle2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Prac1_Library_Jpeisle2              | jpeisle2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Prac_03_jbijesh                     | jbijesh       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Prac_Assignment1_jbijesh            | jbijesh       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Quiz_Jpeisle2                       | jpeisle2      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 TA2                                 | nyoung30      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Talidi_prac_01                      | talidi        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Test                                | ylee48        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 TestMovie1                          | mmarti51      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 Theory2                             | cthompse      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 YL_                                 | ylee48        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 YL_p1                               | ylee48        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 YL_prac_01                          | ylee48        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 YTLprac_01                          | ylee48        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
